,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,611466,477468,133998,10310,2.953418488800786,1800,620,63,557,1180
1,2011,618298,480532,137766,9491,2.718806486635137,2064,879,105,774,1185
2,2012,627340,484088,143252,10307,2.952559104177469,2122,894,97,797,1228
3,2013,636362,487918,148444,10682,3.059982182092143,2258,876,80,796,1382
4,2014,645277,491344,153933,10932,3.003922656837749,2620,1209,150,1059,1411
5,2015,653675,495277,158398,11951,3.2839260585316445,2991,1659,226,1433,1332
6,2016,663462,499712,163750,12054,3.3122300260493946,3398,2091,328,1763,1307
7,2017,670988,503709,167279,11925,3.159568126117772,3819,2489,444,2045,1330
8,2018,678207,507783,170424,9879,2.6174736702656154,4317,2984,515,2469,1333
9,2019,685845,512350,173495,10166,2.6935152679340266,4723,3413,853,2560,1310
10,2020,694072,517015,177057,14470,3.83387427965821,5085,3814,947,2867,1271
