,Year,Population Total,Total Pop Swiss,Total Pop Foreigners,Total Empl,Total Sec.1,Total Sec.2,Total Sec.3,Total Empl Swiss,Total Swiss Sec.1,Total Swiss Sec.2,Total Swiss Sec.3,Total Emp Foreigners,Total Foreign Sec. 1,Total Foreign Sec.2,Total Foreign Sec.3,Empl settled,Empl resident,Empl border,Empl shortterm,Empl other,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,7870.134,6103.857,1766.277,4481.7117499798005,155.51724999980001,1006.6399999975,3319.5544999825,3267.24649997675,137.80695041175,645.3920845150001,2484.04746505,1214.4652500030497,17.71029958805,361.2479154825,835.5070349324999,589.1389999999999,331.09225,231.34536250000002,45.05743439399667,17.83124827237093,148.636,3.438340798616854,25.342,7.518,1.003,6.515,17.824
1,2011,7954.662,6138.668,1815.994,4597.581499984824,160.529750000075,1030.9352500022499,3406.1164999825005,3308.12524998525,141.23039817275,647.6265866125,2519.2682652000003,1289.456249999575,19.299351827325,383.30866338975,886.8482347825001,601.6165000000001,370.023,247.89118750000003,47.96416147067869,21.961622912403655,130.662,3.0225550030199644,27.106,9.445,1.257,8.188,17.661
2,2012,8039.06,6169.091,1869.969,4679.467750432525,162.13675000002502,1038.0167503774999,3479.314250055,3329.3650002705,142.3920751255,647.902249345,2539.0706758000006,1350.102750162025,19.744674874525003,390.1145010325,940.243574255,621.19275,389.46225,266.0811625,48.24967263407711,25.116879860718146,142.309,3.291980682407801,28.122,9.682,1.343,8.339,18.44
3,2013,8139.631,6202.184,1937.447,4736.049750010599,164.30875000085,1031.58500004725,3540.1559999624997,3341.9102499922496,142.72534871475,639.4389653525,2559.7459359249997,1394.1395000183502,21.5834012861,392.14603469475,980.4100640375001,657.1667500000001,379.29075,278.74191249999996,52.26675086539565,26.673600288680333,149.437,3.4568700309676443,29.825,8.529,0.855,7.674,21.296
4,2014,8237.666,6239.207,1998.459,4825.249749994825,169.93075000007502,1045.0662499997497,3610.2527499949997,3373.2602499964996,146.89741512150002,643.688142675,2582.6746922,1451.9894999983248,23.033334878574998,401.37810732475,1027.578057795,683.75325,397.80425,291.0699875,52.46491269628568,26.897063192502017,147.369,3.2797872207389362,34.724,13.138,1.702,11.436,21.586
5,2015,8327.126,6278.459,2048.667,4899.1555002837995,165.89825000004998,1051.5967502712501,3681.6605000125,3404.359250185,144.4621315775,646.1819979075,2613.7151206999997,1494.7962500987999,21.436118422549995,405.41475236375,1067.9453793124999,699.31475,419.90175,300.4104375,49.10079587958249,26.06815013700386,158.629,3.530385406962093,40.277,19.238,2.75,16.488,21.039
6,2016,8419.55,6318.404,2101.146,4967.2687499653,164.48300000005,1044.99100000025,3757.794749965,3441.6659999665,143.18996001149998,644.531161105,2653.94487885,1525.6027499988,21.29303998855,400.45983889524996,1103.849871115,711.8944999999999,432.007,308.5187625,46.43010491373913,26.75227794182379,159.372,3.546921169959644,45.804,25.14,4.005,21.135,20.664
7,2017,8484.13,6357.738,2126.392,5012.549500070225,155.260749999725,1045.4427500504999,3811.8460000200002,3453.78625004975,134.16259538225,636.7574329175001,2682.86622175,1558.763250020475,21.098154617475004,408.685317133,1128.9797782700002,727.04325,437.59475,316.9248625,46.958766284416996,30.241829070038964,146.654,3.1633053644226825,51.512,31.276,5.457,25.819,20.236
8,2018,8544.527,6396.252,2148.275,5064.54774999915,152.43725000015002,1051.009749999,3861.1007499999996,3469.87975000075,129.83105392825001,640.6441737975,2699.404522275,1594.6679999984,22.6061960719,410.36557620150006,1161.696227725,749.22075,440.63250000000005,323.9154625,47.32290232518508,33.576320881953244,119.661,2.581070296154095,57.38,37.721,7.457,30.264,19.659
9,2019,8606.033,6430.658,2175.375,5100.638750705675,132.686499999925,1057.72400063575,3910.2282500700003,3474.742000438,112.83315535550001,641.1834210075,2720.725424075,1625.8967502676749,19.853344644425,416.54057962825,1189.502825995,759.71425,451.29725,332.2931125,45.68035948452118,36.912394028340856,117.277,2.529647764284636,62.42,43.379,9.753,33.626,19.041
10,2020,8670.3,6459.512,2210.788,5077.1152500657245,132.330249999975,1050.3235000407499,3894.461500025,3439.7757500489997,113.0893608865,628.6800217375,2698.0063674249996,1637.3395000167252,19.240889113475,421.64347830324994,1196.4551326,773.3494999999999,448.62850000000003,340.57752500000004,38.36738834276117,36.416364370617636,163.545,3.5276417678652314,67.175,48.435,11.213,37.222,18.74
